Fecha;Último;Apertura;Máximo;Mínimo;Vol.;% var.
19/04/2024;433.5;427.1;433.9;426.88;;1.58%
18/04/2024;426.75;429.5;431;426.25;180.78K;-0.81%
17/04/2024;430.25;431;433;429.5;139.24K;-0.17%
16/04/2024;431;431.25;432.25;428.5;148.12K;-0.12%
15/04/2024;431.5;434.5;435;430.25;152.25K;-0.92%
12/04/2024;435.5;428.25;437.5;427;202.05K;1.57%
11/04/2024;428.75;434;437.5;427.5;250.70K;-1.27%
10/04/2024;434.25;431;435.75;430.75;210.26K;0.70%
9/04/2024;431.25;435;435.75;429.75;219.30K;-0.98%
8/04/2024;435.5;433.75;437.5;431.5;215.99K;0.29%
5/04/2024;434.25;435;438.5;432.25;192.94K;-0.23%
4/04/2024;435.25;432.25;436;429.75;153.81K;0.81%
3/04/2024;431.75;428.25;433;425.75;187.68K;1.23%
2/04/2024;426.5;435.75;436.75;424.5;235.50K;-2.07%
1/04/2024;435.5;441.75;442;432.25;200.47K;-1.53%
29/03/2024;442.25;442.25;442.25;442.25;;0.06%
28/03/2024;442;426.75;448;426;360.09K;3.57%
27/03/2024;426.75;432;432.25;426.25;165.19K;-1.33%
26/03/2024;432.5;437.25;440.75;432;155.31K;-1.20%
25/03/2024;437.75;439;441.25;437;118.61K;-0.34%
22/03/2024;439.25;440.25;441.5;436;132.90K;-0.34%
21/03/2024;440.75;439;445.75;437.5;158.79K;0.40%
20/03/2024;439;439;439.5;435.5;131.97K;-0.11%
19/03/2024;439.5;436.5;440;435;115.12K;0.80%
18/03/2024;436;437;440.5;434;121.82K;-0.17%
15/03/2024;436.75;433.75;440;431.75;140.24K;3.37%
14/03/2024;422.5;426;426;423;0.05K;-0.94%
13/03/2024;426.5;430;432.5;430;0.08K;-0.58%
12/03/2024;429;425;435;424.75;0.53K;0.18%
11/03/2024;428.25;421.75;428.5;419.75;0.62K;0.47%
8/03/2024;426.25;424.25;426.5;420.5;0.76K;0.06%
7/03/2024;426;418.25;427.5;418.25;1.65K;1.91%
6/03/2024;418;413.25;416.25;412;2.54K;1.09%
5/03/2024;413.5;417.25;418;412.5;1.54K;-0.96%
4/03/2024;417.5;412;420.75;412;2.21K;1.27%
1/03/2024;412.25;415.5;418;409.25;3.48K;-4.02%
29/02/2024;429.5;429.25;432;423.75;145.91K;0.23%
28/02/2024;428.5;423.75;430.5;421.75;227.19K;1.18%
27/02/2024;423.5;421;426.5;421;223.74K;4.05%
26/02/2024;407;399.75;407.75;394.5;227.18K;1.81%
23/02/2024;399.75;406;409.25;398.5;218.22K;-1.54%
22/02/2024;406;410;415.5;404.25;199.94K;-1.22%
21/02/2024;411;418.5;419.5;410;180.05K;-1.85%
20/02/2024;418.75;416.25;421.5;414.75;217.84K;0.54%
16/02/2024;416.5;417.5;421.5;415;176.97K;-0.30%
15/02/2024;417.75;424;425;417.25;217.73K;-1.53%
14/02/2024;424.25;430.75;431;422.25;230.22K;-1.51%
13/02/2024;430.75;430.25;434.75;428.75;182.68K;0.06%
12/02/2024;430.5;430.25;432.75;427.75;198.80K;0.35%
9/02/2024;429;433;437;428.25;206.27K;-0.98%
8/02/2024;433.25;434.5;437;429.75;222.88K;-0.23%
7/02/2024;434.25;438.5;439.25;432.75;245.42K;-1.03%
6/02/2024;438.75;442.75;445.5;438.25;193.36K;-0.90%
5/02/2024;442.75;442.75;445;439.5;137.66K;0.00%
2/02/2024;442.75;446.5;448.75;442;129.45K;-1.01%
1/02/2024;447.25;448;448;443.5;153.72K;-0.22%
31/01/2024;448.25;447.25;448.75;443.25;135.49K;0.11%
30/01/2024;447.75;439.75;448.25;436.5;194.90K;1.70%
29/01/2024;440.25;446.25;447.5;437.5;203.57K;-1.34%
26/01/2024;446.25;451;451.75;445.5;135.73K;-1.22%
25/01/2024;451.75;451.5;453.25;447.5;169.29K;-0.11%
24/01/2024;452.25;446.5;452.75;446.25;156.00K;1.29%
23/01/2024;446.5;445.75;450.5;444;152.30K;0.17%
22/01/2024;445.75;445.5;448;444;112.77K;0.06%
19/01/2024;445.5;443.5;449.5;443;148.10K;0.34%
18/01/2024;444;442;445;436.75;180.95K;0.40%
17/01/2024;442.25;443.5;448.25;440;205.71K;-0.28%
16/01/2024;443.5;447.75;451.25;442;175.65K;-0.78%
12/01/2024;447;457;460;441;314.10K;-2.35%
11/01/2024;457.75;459;461.5;455.75;165.19K;-0.38%
10/01/2024;459.5;459;461.75;454.5;193.51K;0.05%
9/01/2024;459.25;454.75;460.5;451.75;215.15K;0.93%
8/01/2024;455;461;462.5;452;214.32K;-1.25%
5/01/2024;460.75;466.5;467.75;460;151.59K;-1.23%
4/01/2024;466.5;465;469;463.5;127.03K;0.27%
3/01/2024;465.25;464.75;466;461.75;147.91K;0.32%
2/01/2024;463.75;470.5;470.75;462.5;187.19K;-1.59%
29/12/2023;471.25;473.75;475;470.5;109.65K;-0.63%
28/12/2023;474.25;476;478.75;474;99.40K;-0.47%
27/12/2023;476.5;479.75;480.25;474.5;107.95K;-0.78%
26/12/2023;480.25;473;481;471.5;114.20K;1.53%
22/12/2023;473;472.5;474;471.5;80.48K;0.11%
21/12/2023;472.5;470;474;469.25;108.60K;0.59%
20/12/2023;469.75;472.75;475.5;468.25;131.03K;-0.63%
19/12/2023;472.75;477.25;478.25;471.5;130.03K;-0.89%
18/12/2023;477;482.5;482.75;475.5;129.45K;-1.24%
15/12/2023;483;479.25;484;477.75;108.55K;5.75%
14/12/2023;456.75;459;460;456.75;0.01K;0.00%
13/12/2023;456.75;462.5;462.5;455;0.26K;-1.24%
12/12/2023;462.5;459.25;467;459.25;0.27K;0.43%
11/12/2023;460.5;465.5;466.25;461;0.38K;-1.13%
8/12/2023;465.75;468;472;466.25;0.32K;-0.53%
7/12/2023;468.25;465;469.25;465;0.32K;0.75%
6/12/2023;464.75;467.75;473;463.75;0.35K;-0.80%
5/12/2023;468.5;460.25;468.5;460.25;0.64K;1.79%
4/12/2023;460.25;461.25;463.75;457;1.93K;-0.91%
1/12/2023;464.5;460.25;469.5;458.25;3.31K;-3.78%
30/11/2023;482.75;475.25;484.5;475;189.36K;1.47%
29/11/2023;475.75;473.5;477.25;470.5;257.32K;0.48%
28/11/2023;473.5;475.25;476.75;471;263.24K;-0.37%
27/11/2023;475.25;483.25;485;473;211.13K;-1.50%
24/11/2023;482.5;487.5;489.25;481.75;109.60K;-1.08%
22/11/2023;487.75;488.25;493.25;487;131.96K;-0.26%
21/11/2023;489;487.5;493.25;486;142.28K;0.31%
20/11/2023;487.5;485.5;488.25;482.5;111.05K;0.46%
17/11/2023;485.25;493.25;493.5;485;106.98K;-1.62%
16/11/2023;493.25;488.75;494.25;483.5;139.10K;0.97%
15/11/2023;488.5;493.75;496.5;485;188.61K;2.14%
14/11/2023;478.25;477;480;473;183.14K;0.21%
13/11/2023;477.25;463.25;477.75;461;249.73K;2.86%
10/11/2023;464;468;469;461.75;230.54K;-0.85%
9/11/2023;468;475;476;466.5;257.16K;-1.68%
8/11/2023;476;469;480.5;468.5;322.78K;1.60%
7/11/2023;468.5;477;477.5;468;215.81K;-1.83%
6/11/2023;477.25;477.25;480.75;476.75;131.65K;0.00%
3/11/2023;477.25;470;481.25;468;200.22K;1.54%
2/11/2023;470;475;477;469.5;202.19K;-1.05%
1/11/2023;475;478.75;480;472.5;180.12K;-0.78%
31/10/2023;478.75;478.25;483;477.5;136.05K;0.10%
30/10/2023;478.25;480;484.25;477.5;136.57K;-0.52%
27/10/2023;480.75;479.25;484;478.25;126.30K;0.31%
26/10/2023;479.25;480;484.25;477.5;190.73K;-0.16%
25/10/2023;480;483.5;486;476.75;177.28K;-0.83%
24/10/2023;484;490.75;491.5;482.75;161.08K;-1.27%
23/10/2023;490.25;494.25;497;490.25;126.44K;-1.06%
20/10/2023;495.5;504;509.5;495;264.54K;-1.88%
19/10/2023;505;492;505.5;490.25;279.44K;2.64%
18/10/2023;492;488.5;494;488.5;119.27K;0.61%
17/10/2023;489;490;492.75;487.75;102.03K;-0.20%
16/10/2023;490;493.5;496.75;489.5;113.49K;-0.66%
13/10/2023;493.25;495;498.75;490.5;138.23K;-0.55%
12/10/2023;496;487.75;498.75;482.25;208.37K;1.64%
11/10/2023;488;485.5;488.5;483.5;102.59K;0.51%
10/10/2023;485.5;488;488.25;484.25;110.08K;-0.56%
9/10/2023;488.25;492;497;487.25;115.53K;-0.76%
6/10/2023;492;496;499;491.5;125.23K;-1.11%
5/10/2023;497.5;486;498.5;482.5;186.34K;2.37%
4/10/2023;486;487.5;489.75;482.5;129.88K;-0.31%
3/10/2023;487.5;488;489.25;484.25;138.10K;-0.26%
2/10/2023;488.75;477;489.75;476;159.22K;2.52%
29/09/2023;476.75;487.5;490;475.5;209.42K;-2.41%
28/09/2023;488.5;483.75;489.25;481;114.32K;1.09%
27/09/2023;483.25;479.75;486.75;479;125.71K;0.73%
26/09/2023;479.75;481;483.5;476.5;117.59K;-0.31%
25/09/2023;481.25;475.25;482.5;473.75;101.59K;0.84%
22/09/2023;477.25;475;478.5;474.25;88.61K;0.42%
21/09/2023;475.25;481;482.5;474;115.20K;-1.45%
20/09/2023;482.25;476;483;474.5;162.30K;1.26%
19/09/2023;476.25;471.25;477;467.75;139.65K;1.01%
18/09/2023;471.5;475.25;478.75;469;143.32K;-1.00%
15/09/2023;476.25;480;483.5;475;110.38K;2.97%
14/09/2023;462.5;455.75;459.25;455.75;0.09K;-0.32%
13/09/2023;464;466.75;467.75;462.5;0.12K;0.16%
12/09/2023;463.25;473.5;473.5;462.75;0.17K;-1.70%
11/09/2023;471.25;470.25;471.5;468;0.43K;0.59%
8/09/2023;468.5;471.25;472.25;467;0.23K;-0.48%
